"ad.doubleclick.net ad.yieldmanager.com bn.uol.com.br globo";"google" 
"ad.doubleclick.net bn.uol.com.br ad.yieldmanager.com globo gstatic";"google yahoo" 
"ad.doubleclick.net rad.msn terra globo";"google" 
"ad.doubleclick.net uai terra ad.yieldmanager.com yahoo";"google" 
"ad.yieldmanager.com bn.uol.com.br globo uai terra";"google ad.doubleclick.net yahoo" 
"ad.yieldmanager.com view.atdmt.com globo rad.msn";"google yahoo" 
"ad.yieldmanager.com yahoo uai bn.uol.com.br orkut";"google" 
"bn.uol.com.br ad.doubleclick.net gstatic";"google" 
"bn.uol.com.br ad.yieldmanager.com uai rad.msn orkut";"google yahoo" 
"bn.uol.com.br ad.yieldmanager.com yahoo ad.doubleclick.net globo";"google" 
"bn.uol.com.br globo ad.yieldmanager.com ceipmsn";"google yahoo" 
"bn.uol.com.br yahoo ceipmsn gstatic";"google" 
"ceipmsn ad.yieldmanager.com globo google";"yahoo" 
"ceipmsn gstatic uai";"google" 
"globo ad.doubleclick.net uai view.atdmt.com bn.uol.com.br";"google yahoo" 
"globo ad.yieldmanager.com bn.uol.com.br ad.doubleclick.net uai";"google yahoo" 
"globo rad.msn ad.doubleclick.net";"google" 
"globo uai bn.uol.com.br terra ad.doubleclick.net";"google yahoo" 
"google bn.uol.com.br rad.msn terra";"yahoo" 
"google terra ceipmsn ad.yieldmanager.com";"yahoo" 
"gstatic ad.doubleclick.net ad.yieldmanager.com globo";"google yahoo" 
"gstatic terra ad.doubleclick.net";"google" 
"gstatic yahoo terra";"google" 
"orkut bn.uol.com.br ad.yieldmanager.com rad.msn";"google yahoo" 
"orkut gstatic ad.doubleclick.net yahoo";"google" 
"orkut gstatic rad.msn";"google" 
"rad.msn ad.doubleclick.net yahoo view.atdmt.com";"google" 
"uai ad.yieldmanager.com bn.uol.com.br view.atdmt.com ad.doubleclick.net";"google yahoo" 
"uai globo orkut rad.msn";"google" 
"uai gstatic bn.uol.com.br ceipmsn";"google" 
"uai terra orkut bn.uol.com.br";"google yahoo" 
"uai youtube globo";"google" 
"view.atdmt.com ad.yieldmanager.com ad.doubleclick.net rad.msn";"google yahoo" 
"view.atdmt.com ad.yieldmanager.com ceipmsn rad.msn";"google" 
"view.atdmt.com ad.yieldmanager.com rad.msn ad.doubleclick.net uai";"google yahoo" 
"yahoo ad.doubleclick.net terra gstatic";"google" 
"yahoo ad.yieldmanager.com bn.uol.com.br orkut globo";"google" 
