"ad.doubleclick.net ad.yieldmanager.com bn.uol.com.br globo";"google" 
"ad.doubleclick.net orkut uai yahoo ad.yieldmanager.com";"google" 
"ad.yieldmanager.com ad.doubleclick.net gstatic";"google" 
"ad.yieldmanager.com ad.doubleclick.net orkut uai";"google" 
"ad.yieldmanager.com ad.doubleclick.net view.atdmt.com bn.uol.com.br";"google yahoo" 
"ad.yieldmanager.com bn.uol.com.br gstatic globo";"google yahoo" 
"ad.yieldmanager.com bn.uol.com.br gstatic view.atdmt.com";"google yahoo" 
"ad.yieldmanager.com bn.uol.com.br orkut globo";"google" 
"ad.yieldmanager.com bn.uol.com.br view.atdmt.com uai";"google" 
"ad.yieldmanager.com orkut uai youtube";"google yahoo" 
"ad.yieldmanager.com view.atdmt.com orkut globo bn.uol.com.br";"google yahoo" 
"ad.yieldmanager.com yahoo uai bn.uol.com.br orkut";"google" 
"ad.yieldmanager.com yahoo view.atdmt.com uai";"google" 
"bn.uol.com.br ad.doubleclick.net rad.msn uai";"google" 
"bn.uol.com.br ad.yieldmanager.com orkut uai";"google" 
"bn.uol.com.br ad.yieldmanager.com yahoo ad.doubleclick.net globo";"google" 
"bn.uol.com.br ceipmsn rad.msn uai";"google" 
"bn.uol.com.br terra gstatic";"google ad.doubleclick.net yahoo" 
"bn.uol.com.br yahoo ceipmsn gstatic";"google" 
"bn.uol.com.br yahoo rad.msn uai";"google" 
"bn.uol.com.br yahoo view.atdmt.com gstatic";"google" 
"globo ad.doubleclick.net uai ad.yieldmanager.com view.atdmt.com";"google yahoo" 
"globo bn.uol.com.br view.atdmt.com orkut";"google yahoo" 
"globo orkut bn.uol.com.br gstatic";"google yahoo" 
"globo uai rad.msn yahoo bn.uol.com.br";"google" 
"google ad.doubleclick.net ceipmsn ad.yieldmanager.com uai";"terra yahoo" 
"google bn.uol.com.br rad.msn terra";"yahoo" 
"gstatic bn.uol.com.br globo";"google" 
"gstatic bn.uol.com.br yahoo globo";"google" 
"orkut ad.doubleclick.net yahoo ceipmsn";"google" 
"orkut ad.yieldmanager.com bn.uol.com.br ad.doubleclick.net view.atdmt.com";"google yahoo" 
"orkut bn.uol.com.br view.atdmt.com uai";"google" 
"orkut terra ceipmsn yahoo";"google" 
"orkut terra view.atdmt.com yahoo";"google" 
"rad.msn bn.uol.com.br orkut globo";"google" 
"rad.msn bn.uol.com.br view.atdmt.com orkut";"google yahoo" 
"rad.msn bn.uol.com.br yahoo globo orkut";"google" 
"rad.msn bn.uol.com.br yahoo orkut";"google" 
"rad.msn yahoo bn.uol.com.br globo";"google" 
"terra ceipmsn ad.yieldmanager.com uai";"google ad.doubleclick.net yahoo" 
"terra view.atdmt.com bn.uol.com.br uai ad.doubleclick.net";"google yahoo" 
"uai ad.doubleclick.net globo bn.uol.com.br yahoo";"google" 
"uai ad.yieldmanager.com yahoo globo orkut";"google" 
"uai bn.uol.com.br yahoo globo orkut";"google" 
"uai globo bn.uol.com.br rad.msn";"google" 
"uai globo orkut ad.yieldmanager.com";"google" 
"uai globo orkut rad.msn";"google" 
"uai globo view.atdmt.com rad.msn";"google" 
"uai globo yahoo rad.msn";"google" 
"uai orkut view.atdmt.com bn.uol.com.br ad.yieldmanager.com";"google" 
"uai orkut yahoo ad.yieldmanager.com view.atdmt.com";"google" 
"uai rad.msn yahoo globo orkut";"google" 
"uai terra view.atdmt.com bn.uol.com.br";"google yahoo" 
"view.atdmt.com ad.doubleclick.net youtube";"google" 
"view.atdmt.com ad.yieldmanager.com ceipmsn bn.uol.com.br";"google yahoo" 
"view.atdmt.com bn.uol.com.br rad.msn gstatic";"google" 
"yahoo ad.doubleclick.net ceipmsn ad.yieldmanager.com uai";"google terra" 
"yahoo ad.doubleclick.net orkut uai";"google" 
"yahoo ad.doubleclick.net rad.msn globo";"google" 
"yahoo ad.yieldmanager.com bn.uol.com.br orkut globo";"google" 
