"ad.doubleclick.net ad.yieldmanager.com bn.uol.com.br globo";"google" 
"ad.doubleclick.net ad.yieldmanager.com rad.msn uai";"google" 
"ad.doubleclick.net bn.uol.com.br orkut globo";"google" 
"ad.doubleclick.net orkut uai ad.yieldmanager.com bn.uol.com.br";"google" 
"ad.doubleclick.net orkut uai yahoo bn.uol.com.br";"google" 
"ad.doubleclick.net view.atdmt.com bn.uol.com.br globo";"google" 
"ad.doubleclick.net yahoo ad.yieldmanager.com bn.uol.com.br rad.msn";"google" 
"ad.yieldmanager.com yahoo ad.doubleclick.net bn.uol.com.br orkut uai";"google" 
"ad.yieldmanager.com yahoo bn.uol.com.br orkut gstatic";"google" 
"ad.yieldmanager.com yahoo uai bn.uol.com.br orkut";"google" 
"bn.uol.com.br ad.doubleclick.net orkut uai";"google" 
"bn.uol.com.br ad.yieldmanager.com yahoo ad.doubleclick.net globo";"google" 
"bn.uol.com.br ceipmsn gstatic";"google" 
"bn.uol.com.br view.atdmt.com rad.msn uai";"google yahoo" 
"bn.uol.com.br yahoo ceipmsn gstatic";"google" 
"ceipmsn yahoo view.atdmt.com uai";"google" 
"globo ad.yieldmanager.com gstatic google";"yahoo" 
"globo ad.yieldmanager.com orkut gstatic";"google yahoo" 
"google bn.uol.com.br rad.msn terra";"yahoo" 
"gstatic ad.doubleclick.net bn.uol.com.br globo";"google" 
"orkut ad.doubleclick.net ad.yieldmanager.com bn.uol.com.br globo";"google" 
"orkut gstatic bn.uol.com.br ad.yieldmanager.com";"google" 
"orkut gstatic view.atdmt.com bn.uol.com.br";"google" 
"orkut terra rad.msn bn.uol.com.br";"google yahoo" 
"orkut yahoo terra uai";"google" 
"rad.msn ad.doubleclick.net bn.uol.com.br ad.yieldmanager.com";"google" 
"rad.msn ad.doubleclick.net yahoo ad.yieldmanager.com";"google" 
"rad.msn bn.uol.com.br ad.doubleclick.net orkut";"google" 
"rad.msn view.atdmt.com ad.doubleclick.net orkut";"google" 
"terra ad.doubleclick.net view.atdmt.com yahoo uai";"google" 
"terra ad.yieldmanager.com gstatic";"google yahoo" 
"uai bn.uol.com.br ad.yieldmanager.com yahoo ad.doubleclick.net";"google" 
"uai globo orkut rad.msn";"google" 
"uai orkut youtube google";"yahoo" 
"uai yahoo ceipmsn rad.msn";"google bn.uol.com.br" 
"view.atdmt.com ad.doubleclick.net uai terra";"google" 
"view.atdmt.com bn.uol.com.br yahoo rad.msn";"google" 
"view.atdmt.com rad.msn ad.yieldmanager.com bn.uol.com.br google";"yahoo" 
"view.atdmt.com rad.msn ad.yieldmanager.com bn.uol.com.br yahoo";"google" 
"view.atdmt.com yahoo rad.msn uai";"google" 
"view.atdmt.com yahoo terra uai";"google" 
"yahoo ad.yieldmanager.com bn.uol.com.br orkut globo";"google" 
"yahoo ad.yieldmanager.com rad.msn globo";"google" 
"yahoo view.atdmt.com ad.doubleclick.net terra globo";"google" 
"youtube gstatic ad.yieldmanager.com";"orkut google bn.uol.com.br" 
"youtube uai ad.yieldmanager.com";"yahoo" 
