Numero de regras = 205
premissa ==> conclusao (suporte,confianca)

{orkut bn.uol.com.br globo}==>{google} (0.012698413,1.0)
{ad.yieldmanager.com rad.msn google}==>{ceipmsn} (0.00952381,1.0)
{ad.yieldmanager.com view.atdmt.com youtube}==>{google} (0.00952381,1.0)
{bn.uol.com.br ad.yieldmanager.com ceipmsn}==>{yahoo} (0.00952381,1.0)
{ceipmsn bn.uol.com.br rad.msn}==>{google} (0.00952381,1.0)
{ceipmsn globo ad.yieldmanager.com}==>{yahoo} (0.00952381,1.0)
{ceipmsn globo yahoo}==>{ad.yieldmanager.com} (0.00952381,1.0)
{orkut ad.yieldmanager.com ceipmsn}==>{yahoo} (0.00952381,1.0)
{rad.msn yahoo ceipmsn}==>{ad.yieldmanager.com} (0.00952381,1.0)
{ad.yieldmanager.com view.atdmt.com globo}==>{youtube google bn.uol.com.br} (0.0063492064,1.0)
{ad.yieldmanager.com yahoo youtube}==>{google view.atdmt.com} (0.0063492064,1.0)
{ad.yieldmanager.com youtube globo}==>{google view.atdmt.com bn.uol.com.br} (0.0063492064,1.0)
{bn.uol.com.br view.atdmt.com globo}==>{youtube google ad.yieldmanager.com} (0.0063492064,1.0)
{bn.uol.com.br view.atdmt.com google ad.yieldmanager.com}==>{globo youtube} (0.0063492064,1.0)
{bn.uol.com.br view.atdmt.com youtube}==>{globo google ad.yieldmanager.com} (0.0063492064,1.0)
{bn.uol.com.br youtube ad.yieldmanager.com}==>{globo google view.atdmt.com} (0.0063492064,1.0)
{bn.uol.com.br youtube globo}==>{google view.atdmt.com ad.yieldmanager.com} (0.0063492064,1.0)
{ceipmsn bn.uol.com.br ad.yieldmanager.com google}==>{globo rad.msn yahoo} (0.0063492064,1.0)
{ceipmsn bn.uol.com.br ad.yieldmanager.com orkut}==>{yahoo} (0.0063492064,1.0)
{ceipmsn bn.uol.com.br globo}==>{google rad.msn ad.yieldmanager.com yahoo} (0.0063492064,1.0)
{ceipmsn bn.uol.com.br yahoo google}==>{globo rad.msn ad.yieldmanager.com} (0.0063492064,1.0)
{ceipmsn bn.uol.com.br yahoo orkut}==>{ad.yieldmanager.com} (0.0063492064,1.0)
{globo ad.yieldmanager.com bn.uol.com.br orkut}==>{google} (0.0063492064,1.0)
{globo google bn.uol.com.br ad.doubleclick.net}==>{orkut} (0.0063492064,1.0)
{globo orkut ad.doubleclick.net bn.uol.com.br}==>{google} (0.0063492064,1.0)
{globo orkut ad.doubleclick.net google}==>{bn.uol.com.br} (0.0063492064,1.0)
{globo view.atdmt.com orkut}==>{youtube google} (0.0063492064,1.0)
{google ad.yieldmanager.com orkut bn.uol.com.br}==>{globo} (0.0063492064,1.0)
{google ad.yieldmanager.com orkut globo}==>{bn.uol.com.br} (0.0063492064,1.0)
{google ad.yieldmanager.com orkut view.atdmt.com}==>{youtube} (0.0063492064,1.0)
{google ad.yieldmanager.com orkut youtube}==>{view.atdmt.com} (0.0063492064,1.0)
{google ad.yieldmanager.com yahoo bn.uol.com.br}==>{globo rad.msn ceipmsn} (0.0063492064,1.0)
{google ad.yieldmanager.com yahoo ceipmsn}==>{globo rad.msn bn.uol.com.br} (0.0063492064,1.0)
