Numero de regras = 155
premissa ==> conclusao (suporte,confianca)

{orkut ad.yieldmanager.com bn.uol.com.br}==>{google} (0.022653721,1.0)
{bn.uol.com.br orkut yahoo}==>{google} (0.019417476,1.0)
{ad.yieldmanager.com yahoo bn.uol.com.br orkut}==>{google} (0.01618123,1.0)
{ceipmsn bn.uol.com.br ad.yieldmanager.com google}==>{orkut} (0.009708738,1.0)
{ceipmsn bn.uol.com.br ad.yieldmanager.com orkut}==>{google} (0.009708738,1.0)
{ceipmsn bn.uol.com.br google orkut}==>{ad.yieldmanager.com} (0.009708738,1.0)
{google yahoo youtube}==>{ad.yieldmanager.com} (0.009708738,1.0)
{view.atdmt.com google ad.yieldmanager.com}==>{yahoo} (0.009708738,1.0)
{ad.doubleclick.net ad.yieldmanager.com bn.uol.com.br}==>{google} (0.006472492,1.0)
{ad.doubleclick.net bn.uol.com.br uai}==>{google} (0.006472492,1.0)
{ad.yieldmanager.com google uai}==>{ad.doubleclick.net} (0.006472492,1.0)
{bn.uol.com.br ad.yieldmanager.com globo}==>{yahoo} (0.006472492,1.0)
{bn.uol.com.br view.atdmt.com ad.yieldmanager.com}==>{orkut google yahoo} (0.006472492,1.0)
{bn.uol.com.br view.atdmt.com google yahoo}==>{orkut ad.yieldmanager.com} (0.006472492,1.0)
{bn.uol.com.br view.atdmt.com orkut}==>{google ad.yieldmanager.com yahoo} (0.006472492,1.0)
{ceipmsn yahoo bn.uol.com.br ad.yieldmanager.com google}==>{orkut} (0.006472492,1.0)
{ceipmsn yahoo bn.uol.com.br orkut}==>{google ad.yieldmanager.com} (0.006472492,1.0)
{ceipmsn yahoo google orkut ad.yieldmanager.com}==>{bn.uol.com.br} (0.006472492,1.0)
{ceipmsn youtube ad.yieldmanager.com}==>{google yahoo} (0.006472492,1.0)
{ceipmsn youtube yahoo}==>{google ad.yieldmanager.com} (0.006472492,1.0)
{google ad.doubleclick.net bn.uol.com.br orkut}==>{yahoo} (0.006472492,1.0)
{google ad.doubleclick.net yahoo orkut}==>{bn.uol.com.br} (0.006472492,1.0)
{google view.atdmt.com ad.yieldmanager.com orkut}==>{bn.uol.com.br yahoo} (0.006472492,1.0)
{terra bn.uol.com.br ceipmsn}==>{globo} (0.006472492,1.0)
{terra bn.uol.com.br google}==>{globo} (0.006472492,1.0)
{terra globo ceipmsn}==>{bn.uol.com.br} (0.006472492,1.0)
{view.atdmt.com gstatic yahoo}==>{ad.yieldmanager.com} (0.006472492,1.0)
{yahoo bn.uol.com.br ad.doubleclick.net}==>{orkut google} (0.006472492,1.0)
{yahoo view.atdmt.com orkut}==>{google bn.uol.com.br ad.yieldmanager.com} (0.006472492,1.0)
{youtube ceipmsn bn.uol.com.br}==>{orkut} (0.006472492,1.0)
{youtube google rad.msn}==>{view.atdmt.com} (0.006472492,1.0)
{youtube view.atdmt.com rad.msn}==>{google} (0.006472492,1.0)
{ad.doubleclick.net yahoo uai}==>{ad.yieldmanager.com} (0.003236246,1.0)
{ad.yieldmanager.com ad.doubleclick.net rad.msn}==>{uai google} (0.003236246,1.0)
{ad.yieldmanager.com bn.uol.com.br youtube}==>{orkut google ceipmsn yahoo} (0.003236246,1.0)
{ad.yieldmanager.com globo youtube}==>{orkut view.atdmt.com} (0.003236246,1.0)
{ad.yieldmanager.com gstatic rad.msn}==>{view.atdmt.com} (0.003236246,1.0)
{ad.yieldmanager.com gstatic terra}==>{orkut youtube} (0.003236246,1.0)
{ad.yieldmanager.com gstatic youtube}==>{orkut terra} (0.003236246,1.0)
{ad.yieldmanager.com orkut youtube ceipmsn}==>{google bn.uol.com.br yahoo} (0.003236246,1.0)
{ad.yieldmanager.com orkut youtube google}==>{bn.uol.com.br ceipmsn yahoo} (0.003236246,1.0)
{ad.yieldmanager.com rad.msn ceipmsn}==>{yahoo} (0.003236246,1.0)
{ad.yieldmanager.com view.atdmt.com youtube}==>{globo orkut} (0.003236246,1.0)
{ad.yieldmanager.com youtube terra}==>{orkut gstatic} (0.003236246,1.0)
{bn.uol.com.br ad.doubleclick.net ad.yieldmanager.com view.atdmt.com}==>{orkut google yahoo} (0.003236246,1.0)
{bn.uol.com.br ad.doubleclick.net orkut ad.yieldmanager.com}==>{google view.atdmt.com yahoo} (0.003236246,1.0)
{bn.uol.com.br gstatic ad.yieldmanager.com}==>{orkut google yahoo} (0.003236246,1.0)
{bn.uol.com.br gstatic terra}==>{globo ceipmsn} (0.003236246,1.0)
{bn.uol.com.br gstatic yahoo}==>{orkut google ad.yieldmanager.com} (0.003236246,1.0)
{ceipmsn ad.yieldmanager.com bn.uol.com.br globo}==>{yahoo} (0.003236246,1.0)
