Numero de regras = 835
premissa ==> conclusao (suporte,confianca)

{ad.doubleclick.net ad.yieldmanager.com bn.uol.com.br globo}==>{google} (0.021428572,1.0)
{orkut gstatic bn.uol.com.br}==>{google} (0.021428572,1.0)
{bn.uol.com.br ad.yieldmanager.com yahoo ad.doubleclick.net globo}==>{google} (0.018571429,1.0)
{ad.doubleclick.net bn.uol.com.br orkut globo}==>{google} (0.017142856,1.0)
{orkut gstatic yahoo bn.uol.com.br}==>{google} (0.017142856,1.0)
{ad.doubleclick.net view.atdmt.com bn.uol.com.br globo}==>{google} (0.015714286,1.0)
{orkut ad.doubleclick.net ad.yieldmanager.com bn.uol.com.br globo}==>{google} (0.015714286,1.0)
{orkut gstatic bn.uol.com.br ad.yieldmanager.com}==>{google} (0.015714286,1.0)
{rad.msn ad.yieldmanager.com uai}==>{google} (0.015714286,1.0)
{terra view.atdmt.com uai}==>{google} (0.015714286,1.0)
{view.atdmt.com ad.doubleclick.net globo orkut}==>{ad.yieldmanager.com} (0.015714286,1.0)
{view.atdmt.com bn.uol.com.br yahoo rad.msn}==>{google} (0.015714286,1.0)
{yahoo ad.yieldmanager.com bn.uol.com.br orkut globo}==>{google} (0.015714286,1.0)
{ad.doubleclick.net ad.yieldmanager.com gstatic google}==>{yahoo} (0.014285714,1.0)
{ad.doubleclick.net ad.yieldmanager.com gstatic yahoo}==>{google} (0.014285714,1.0)
{ad.doubleclick.net view.atdmt.com orkut google globo}==>{ad.yieldmanager.com} (0.014285714,1.0)
{ad.yieldmanager.com yahoo bn.uol.com.br orkut gstatic}==>{google} (0.014285714,1.0)
{globo view.atdmt.com bn.uol.com.br ad.yieldmanager.com ad.doubleclick.net}==>{google} (0.014285714,1.0)
{google bn.uol.com.br rad.msn terra}==>{yahoo} (0.014285714,1.0)
{orkut ad.doubleclick.net bn.uol.com.br yahoo globo}==>{google} (0.014285714,1.0)
{uai ad.doubleclick.net globo bn.uol.com.br}==>{google yahoo} (0.014285714,1.0)
{view.atdmt.com yahoo terra uai}==>{google} (0.014285714,1.0)
{ad.doubleclick.net orkut yahoo view.atdmt.com globo}==>{ad.yieldmanager.com} (0.012857143,1.0)
{globo ad.yieldmanager.com gstatic google}==>{yahoo} (0.012857143,1.0)
{globo bn.uol.com.br ad.yieldmanager.com view.atdmt.com orkut}==>{google} (0.012857143,1.0)
{globo view.atdmt.com bn.uol.com.br yahoo ad.doubleclick.net}==>{google} (0.012857143,1.0)
{gstatic yahoo terra}==>{google} (0.012857143,1.0)
{rad.msn ad.doubleclick.net yahoo ad.yieldmanager.com}==>{google} (0.012857143,1.0)
{rad.msn view.atdmt.com uai}==>{google} (0.012857143,1.0)
{terra uai ad.doubleclick.net bn.uol.com.br}==>{yahoo} (0.012857143,1.0)
{uai bn.uol.com.br ad.yieldmanager.com yahoo ad.doubleclick.net}==>{google} (0.012857143,1.0)
{yahoo ad.yieldmanager.com bn.uol.com.br ad.doubleclick.net globo orkut}==>{google} (0.012857143,1.0)
{yahoo ad.yieldmanager.com rad.msn globo}==>{google} (0.012857143,1.0)
{yahoo uai view.atdmt.com orkut}==>{ad.yieldmanager.com} (0.012857143,1.0)
