Numero de regras = 1246
premissa ==> conclusao (suporte,confianca)

{orkut ad.yieldmanager.com bn.uol.com.br}==>{google} (0.036363635,1.0)
{view.atdmt.com bn.uol.com.br yahoo ad.yieldmanager.com}==>{google} (0.033566434,1.0)
{gstatic bn.uol.com.br yahoo}==>{google} (0.032167833,1.0)
{orkut ad.yieldmanager.com yahoo bn.uol.com.br}==>{google} (0.03076923,1.0)
{orkut gstatic google ad.yieldmanager.com}==>{yahoo} (0.027972028,1.0)
{orkut gstatic bn.uol.com.br}==>{google} (0.026573427,1.0)
{bn.uol.com.br ad.yieldmanager.com gstatic google}==>{yahoo} (0.023776224,1.0)
{bn.uol.com.br ad.yieldmanager.com gstatic yahoo}==>{google} (0.023776224,1.0)
{bn.uol.com.br yahoo view.atdmt.com orkut}==>{google} (0.023776224,1.0)
{orkut gstatic yahoo bn.uol.com.br}==>{google} (0.023776224,1.0)
{yahoo view.atdmt.com ad.doubleclick.net}==>{google} (0.023776224,1.0)
{bn.uol.com.br yahoo uai orkut}==>{google} (0.022377623,1.0)
{orkut uai view.atdmt.com}==>{google} (0.022377623,1.0)
{rad.msn ad.yieldmanager.com uai}==>{yahoo} (0.02097902,1.0)
{uai bn.uol.com.br yahoo view.atdmt.com}==>{google} (0.02097902,1.0)
{youtube bn.uol.com.br ad.yieldmanager.com yahoo}==>{google} (0.02097902,1.0)
{ad.doubleclick.net ad.yieldmanager.com gstatic google}==>{yahoo} (0.01958042,1.0)
{ad.doubleclick.net terra ad.yieldmanager.com bn.uol.com.br}==>{yahoo} (0.01958042,1.0)
{orkut ad.yieldmanager.com bn.uol.com.br view.atdmt.com}==>{google yahoo} (0.01958042,1.0)
{uai globo yahoo view.atdmt.com}==>{google} (0.01958042,1.0)
{yahoo ad.doubleclick.net uai orkut}==>{google} (0.01958042,1.0)
{ad.yieldmanager.com bn.uol.com.br orkut gstatic}==>{google yahoo} (0.018181818,1.0)
{bn.uol.com.br ad.yieldmanager.com uai orkut}==>{google} (0.018181818,1.0)
{globo gstatic google ad.yieldmanager.com}==>{yahoo} (0.018181818,1.0)
{gstatic orkut uai}==>{google yahoo} (0.018181818,1.0)
{orkut gstatic ad.doubleclick.net google}==>{yahoo} (0.018181818,1.0)
{orkut gstatic ad.doubleclick.net yahoo}==>{google} (0.018181818,1.0)
{yahoo ad.doubleclick.net orkut globo}==>{google} (0.018181818,1.0)
{ad.doubleclick.net view.atdmt.com ad.yieldmanager.com bn.uol.com.br}==>{google} (0.016783217,1.0)
{ad.doubleclick.net view.atdmt.com ad.yieldmanager.com yahoo}==>{google} (0.016783217,1.0)
{ad.yieldmanager.com view.atdmt.com rad.msn}==>{google} (0.016783217,1.0)
{bn.uol.com.br view.atdmt.com uai orkut}==>{google} (0.016783217,1.0)
{google ad.yieldmanager.com rad.msn uai}==>{yahoo} (0.016783217,1.0)
{gstatic yahoo orkut globo}==>{google} (0.016783217,1.0)
{orkut ad.doubleclick.net youtube}==>{google} (0.016783217,1.0)
{uai globo bn.uol.com.br view.atdmt.com}==>{google} (0.016783217,1.0)
{uai google ad.yieldmanager.com gstatic}==>{yahoo} (0.016783217,1.0)
{ad.doubleclick.net ad.yieldmanager.com gstatic orkut}==>{google yahoo} (0.015384615,1.0)
{ad.doubleclick.net view.atdmt.com bn.uol.com.br yahoo}==>{google} (0.015384615,1.0)
{ad.yieldmanager.com ad.doubleclick.net orkut globo}==>{google} (0.015384615,1.0)
{ad.yieldmanager.com view.atdmt.com youtube orkut}==>{yahoo} (0.015384615,1.0)
{ad.yieldmanager.com yahoo bn.uol.com.br uai orkut}==>{google} (0.015384615,1.0)
{bn.uol.com.br yahoo ad.doubleclick.net orkut}==>{google} (0.015384615,1.0)
{bn.uol.com.br yahoo view.atdmt.com gstatic}==>{google} (0.015384615,1.0)
{bn.uol.com.br yahoo view.atdmt.com youtube}==>{google} (0.015384615,1.0)
{globo gstatic ad.yieldmanager.com orkut}==>{google yahoo} (0.015384615,1.0)
{gstatic ad.yieldmanager.com terra}==>{yahoo} (0.015384615,1.0)
{rad.msn view.atdmt.com ad.yieldmanager.com yahoo}==>{google} (0.015384615,1.0)
{uai ad.yieldmanager.com bn.uol.com.br view.atdmt.com}==>{google} (0.015384615,1.0)
{uai bn.uol.com.br yahoo gstatic}==>{google} (0.015384615,1.0)
{uai globo view.atdmt.com ad.doubleclick.net}==>{google} (0.015384615,1.0)
{yahoo bn.uol.com.br orkut globo}==>{google} (0.015384615,1.0)
{yahoo view.atdmt.com uai orkut}==>{google} (0.015384615,1.0)
{youtube gstatic google ad.yieldmanager.com}==>{yahoo} (0.015384615,1.0)
{youtube yahoo uai}==>{google} (0.015384615,1.0)
{ad.doubleclick.net view.atdmt.com ad.yieldmanager.com uai}==>{google} (0.013986014,1.0)
{ad.doubleclick.net view.atdmt.com bn.uol.com.br globo}==>{google} (0.013986014,1.0)
{ad.doubleclick.net view.atdmt.com bn.uol.com.br uai}==>{google} (0.013986014,1.0)
{ad.doubleclick.net view.atdmt.com yahoo uai}==>{google} (0.013986014,1.0)
{ad.yieldmanager.com ad.doubleclick.net uai orkut}==>{google} (0.013986014,1.0)
{ad.yieldmanager.com bn.uol.com.br orkut youtube}==>{google yahoo} (0.013986014,1.0)
{ad.yieldmanager.com view.atdmt.com google youtube orkut}==>{yahoo} (0.013986014,1.0)
{ad.yieldmanager.com yahoo ad.doubleclick.net globo orkut}==>{google} (0.013986014,1.0)
{ad.yieldmanager.com yahoo ad.doubleclick.net view.atdmt.com bn.uol.com.br}==>{google} (0.013986014,1.0)
{globo view.atdmt.com ad.yieldmanager.com yahoo bn.uol.com.br}==>{google} (0.013986014,1.0)
{google terra bn.uol.com.br ad.yieldmanager.com ad.doubleclick.net}==>{yahoo} (0.013986014,1.0)
{gstatic ad.doubleclick.net ad.yieldmanager.com globo}==>{yahoo} (0.013986014,1.0)
{gstatic ad.yieldmanager.com rad.msn}==>{yahoo} (0.013986014,1.0)
{gstatic globo bn.uol.com.br yahoo}==>{google} (0.013986014,1.0)
{gstatic globo google ad.doubleclick.net}==>{yahoo} (0.013986014,1.0)
{orkut gstatic ad.yieldmanager.com view.atdmt.com}==>{yahoo} (0.013986014,1.0)
{orkut uai rad.msn}==>{google} (0.013986014,1.0)
{rad.msn bn.uol.com.br yahoo orkut}==>{google} (0.013986014,1.0)
{rad.msn view.atdmt.com ad.yieldmanager.com bn.uol.com.br}==>{google} (0.013986014,1.0)
{rad.msn view.atdmt.com bn.uol.com.br yahoo}==>{google} (0.013986014,1.0)
{terra ad.yieldmanager.com gstatic google}==>{yahoo} (0.013986014,1.0)
