"ad.doubleclick.net bn.uol.com.br terra rad.msn";"yahoo" 
"ad.doubleclick.net ceipmsn ad.yieldmanager.com terra";"yahoo" 
"ad.doubleclick.net view.atdmt.com bn.uol.com.br uai";"google" 
"ad.yieldmanager.com bn.uol.com.br orkut globo";"google" 
"ad.yieldmanager.com bn.uol.com.br orkut gstatic";"google yahoo" 
"ad.yieldmanager.com orkut uai youtube";"google yahoo" 
"ad.yieldmanager.com view.atdmt.com orkut globo bn.uol.com.br";"google yahoo" 
"bn.uol.com.br ad.yieldmanager.com gstatic google";"yahoo" 
"bn.uol.com.br yahoo rad.msn gstatic";"google" 
"bn.uol.com.br yahoo rad.msn uai";"google" 
"bn.uol.com.br yahoo view.atdmt.com gstatic";"google" 
"google ad.yieldmanager.com rad.msn terra";"yahoo" 
"google ad.yieldmanager.com rad.msn uai";"yahoo" 
"orkut ceipmsn ad.doubleclick.net";"google" 
"orkut gstatic ad.doubleclick.net yahoo";"google" 
"orkut gstatic rad.msn yahoo";"google" 
"orkut terra ad.doubleclick.net ceipmsn";"google" 
"rad.msn ad.doubleclick.net yahoo view.atdmt.com";"google" 
"rad.msn bn.uol.com.br orkut globo";"google" 
"rad.msn bn.uol.com.br yahoo orkut";"google" 
"rad.msn yahoo ad.doubleclick.net orkut";"google" 
"terra google ad.doubleclick.net ad.yieldmanager.com rad.msn";"yahoo" 
"terra google ad.doubleclick.net bn.uol.com.br rad.msn";"yahoo" 
"uai ad.doubleclick.net globo bn.uol.com.br yahoo";"google" 
"uai ad.doubleclick.net view.atdmt.com yahoo bn.uol.com.br";"google" 
"uai ad.doubleclick.net yahoo view.atdmt.com rad.msn";"google" 
"uai bn.uol.com.br ad.yieldmanager.com rad.msn";"google yahoo" 
"uai bn.uol.com.br yahoo ad.yieldmanager.com view.atdmt.com";"google" 
"uai globo bn.uol.com.br rad.msn";"google" 
"uai yahoo ceipmsn ad.doubleclick.net";"google" 
"view.atdmt.com ad.doubleclick.net rad.msn uai";"google" 
"view.atdmt.com orkut bn.uol.com.br ad.yieldmanager.com gstatic";"google yahoo" 
"yahoo ad.yieldmanager.com bn.uol.com.br orkut globo";"google" 
"yahoo bn.uol.com.br orkut globo";"google" 
"youtube ad.doubleclick.net uai";"google" 
