"ad.doubleclick.net terra ad.yieldmanager.com bn.uol.com.br";"yahoo" 
"ad.doubleclick.net uai ad.yieldmanager.com bn.uol.com.br orkut";"google yahoo" 
"ad.doubleclick.net uai bn.uol.com.br view.atdmt.com orkut";"google" 
"ad.doubleclick.net uai yahoo ad.yieldmanager.com orkut";"google" 
"ad.doubleclick.net uai yahoo bn.uol.com.br orkut";"google" 
"ad.doubleclick.net view.atdmt.com uai orkut";"google" 
"ad.doubleclick.net view.atdmt.com yahoo uai";"google" 
"ad.doubleclick.net yahoo youtube orkut";"google" 
"ad.yieldmanager.com ad.doubleclick.net orkut terra uai";"google" 
"ad.yieldmanager.com ad.doubleclick.net uai orkut";"google" 
"ad.yieldmanager.com bn.uol.com.br orkut gstatic";"google yahoo" 
"bn.uol.com.br ad.doubleclick.net uai orkut";"google" 
"bn.uol.com.br ad.yieldmanager.com gstatic google";"yahoo" 
"bn.uol.com.br view.atdmt.com uai orkut";"google" 
"bn.uol.com.br yahoo rad.msn gstatic";"google" 
"bn.uol.com.br yahoo view.atdmt.com gstatic";"google" 
"globo youtube orkut ad.doubleclick.net";"google" 
"google ad.yieldmanager.com rad.msn uai";"yahoo" 
"google terra bn.uol.com.br ad.yieldmanager.com ad.doubleclick.net";"yahoo" 
"gstatic globo youtube ad.doubleclick.net";"orkut google ad.yieldmanager.com yahoo" 
"orkut ad.yieldmanager.com ad.doubleclick.net youtube";"google yahoo" 
"orkut gstatic ad.doubleclick.net yahoo";"google" 
"orkut gstatic rad.msn yahoo";"google" 
"orkut gstatic yahoo bn.uol.com.br";"google" 
"rad.msn ad.doubleclick.net ad.yieldmanager.com ceipmsn";"google" 
"rad.msn ad.yieldmanager.com uai";"yahoo" 
"rad.msn ad.yieldmanager.com youtube orkut";"google" 
"uai ad.doubleclick.net globo bn.uol.com.br view.atdmt.com";"google" 
"uai ad.doubleclick.net globo yahoo view.atdmt.com";"google" 
"uai ad.doubleclick.net view.atdmt.com yahoo ad.yieldmanager.com";"google" 
"uai ad.doubleclick.net view.atdmt.com yahoo bn.uol.com.br";"google" 
"uai bn.uol.com.br yahoo view.atdmt.com";"google" 
"uai globo ad.doubleclick.net ad.yieldmanager.com orkut";"google" 
"uai globo ad.doubleclick.net yahoo orkut";"google" 
"uai globo ad.yieldmanager.com orkut";"google" 
"uai globo ad.yieldmanager.com yahoo orkut";"google" 
"uai globo bn.uol.com.br view.atdmt.com";"google" 
"uai globo bn.uol.com.br yahoo orkut";"google" 
"uai globo orkut yahoo ad.yieldmanager.com ad.doubleclick.net";"google" 
"uai globo view.atdmt.com ad.doubleclick.net orkut";"google" 
"uai globo view.atdmt.com bn.uol.com.br yahoo";"google" 
"uai globo view.atdmt.com orkut";"google" 
"uai orkut gstatic ad.yieldmanager.com";"google yahoo" 
"uai view.atdmt.com ceipmsn terra";"google" 
"view.atdmt.com uai ad.yieldmanager.com bn.uol.com.br orkut";"google yahoo" 
"view.atdmt.com yahoo bn.uol.com.br uai orkut";"google" 
"yahoo ad.doubleclick.net uai orkut";"google" 
"youtube bn.uol.com.br ad.yieldmanager.com yahoo";"google" 
"youtube bn.uol.com.br gstatic orkut";"google ad.yieldmanager.com yahoo" 
"youtube yahoo bn.uol.com.br globo";"google" 
