Numero de regras = 876
premissa ==> conclusao (suporte,confianca)

{orkut uai ad.doubleclick.net}==>{google} (0.026760563,1.0)
{orkut gstatic ad.yieldmanager.com}==>{google} (0.02112676,1.0)
{yahoo ad.doubleclick.net uai orkut}==>{google} (0.01830986,1.0)
{youtube yahoo globo}==>{google} (0.01830986,1.0)
{ad.doubleclick.net view.atdmt.com yahoo uai}==>{google} (0.01690141,1.0)
{globo ad.yieldmanager.com bn.uol.com.br orkut}==>{yahoo} (0.01690141,1.0)
{orkut gstatic yahoo ad.yieldmanager.com}==>{google} (0.01690141,1.0)
{uai bn.uol.com.br yahoo view.atdmt.com}==>{google} (0.01690141,1.0)
{ad.doubleclick.net ad.yieldmanager.com bn.uol.com.br orkut}==>{yahoo} (0.015492958,1.0)
{ad.yieldmanager.com ad.doubleclick.net uai orkut}==>{google} (0.015492958,1.0)
{google ad.yieldmanager.com bn.uol.com.br orkut globo}==>{yahoo} (0.015492958,1.0)
{orkut gstatic ad.doubleclick.net}==>{google} (0.015492958,1.0)
{uai globo ad.doubleclick.net orkut}==>{google} (0.015492958,1.0)
{view.atdmt.com bn.uol.com.br ad.yieldmanager.com orkut}==>{yahoo} (0.015492958,1.0)
{ceipmsn ad.yieldmanager.com uai}==>{yahoo} (0.014084507,1.0)
{google orkut bn.uol.com.br ad.yieldmanager.com ad.doubleclick.net}==>{yahoo} (0.014084507,1.0)
{gstatic ad.yieldmanager.com view.atdmt.com}==>{google} (0.014084507,1.0)
{orkut ad.yieldmanager.com bn.uol.com.br google view.atdmt.com}==>{yahoo} (0.014084507,1.0)
{orkut gstatic yahoo view.atdmt.com}==>{google} (0.014084507,1.0)
{orkut youtube globo}==>{google} (0.014084507,1.0)
{ad.doubleclick.net globo orkut ad.yieldmanager.com bn.uol.com.br}==>{yahoo} (0.0126760565,1.0)
{ad.doubleclick.net uai yahoo ad.yieldmanager.com orkut}==>{google} (0.0126760565,1.0)
{ad.yieldmanager.com bn.uol.com.br terra google}==>{yahoo} (0.0126760565,1.0)
{bn.uol.com.br ad.yieldmanager.com ad.doubleclick.net uai}==>{yahoo} (0.0126760565,1.0)
{bn.uol.com.br yahoo youtube orkut}==>{google} (0.0126760565,1.0)
{globo youtube orkut yahoo}==>{google} (0.0126760565,1.0)
{gstatic ad.yieldmanager.com ad.doubleclick.net}==>{google} (0.0126760565,1.0)
{gstatic ad.yieldmanager.com bn.uol.com.br}==>{yahoo} (0.0126760565,1.0)
{gstatic ad.yieldmanager.com globo}==>{google} (0.0126760565,1.0)
{orkut gstatic ad.doubleclick.net yahoo}==>{google} (0.0126760565,1.0)
{orkut gstatic view.atdmt.com ad.yieldmanager.com}==>{google} (0.0126760565,1.0)
{youtube ad.doubleclick.net globo}==>{google} (0.0126760565,1.0)
{youtube bn.uol.com.br ad.yieldmanager.com google}==>{yahoo} (0.0126760565,1.0)
{youtube bn.uol.com.br ad.yieldmanager.com yahoo}==>{google} (0.0126760565,1.0)
{bn.uol.com.br ad.yieldmanager.com gstatic google}==>{yahoo} (0.011267605,1.0)
{google ad.yieldmanager.com bn.uol.com.br ad.doubleclick.net globo orkut}==>{yahoo} (0.011267605,1.0)
{google ad.yieldmanager.com bn.uol.com.br ad.doubleclick.net globo yahoo}==>{orkut} (0.011267605,1.0)
{google bn.uol.com.br rad.msn uai}==>{yahoo} (0.011267605,1.0)
{gstatic ad.doubleclick.net orkut globo}==>{google} (0.011267605,1.0)
{gstatic bn.uol.com.br view.atdmt.com}==>{google} (0.011267605,1.0)
{orkut gstatic ad.doubleclick.net ad.yieldmanager.com}==>{google} (0.011267605,1.0)
{orkut gstatic yahoo bn.uol.com.br}==>{google} (0.011267605,1.0)
{orkut uai gstatic}==>{google} (0.011267605,1.0)
{uai bn.uol.com.br yahoo terra}==>{google} (0.011267605,1.0)
{uai globo yahoo orkut}==>{google} (0.011267605,1.0)
{view.atdmt.com yahoo ad.yieldmanager.com gstatic}==>{orkut google} (0.011267605,1.0)
{yahoo bn.uol.com.br rad.msn uai}==>{google} (0.011267605,1.0)
{ad.doubleclick.net ad.yieldmanager.com yahoo gstatic}==>{orkut google} (0.009859155,1.0)
{ad.doubleclick.net terra ad.yieldmanager.com bn.uol.com.br}==>{yahoo} (0.009859155,1.0)
{ad.doubleclick.net view.atdmt.com uai orkut}==>{google} (0.009859155,1.0)
{ad.doubleclick.net yahoo rad.msn uai}==>{google} (0.009859155,1.0)
{ad.doubleclick.net yahoo youtube orkut}==>{google} (0.009859155,1.0)
{ad.yieldmanager.com bn.uol.com.br google uai orkut}==>{yahoo} (0.009859155,1.0)
{ad.yieldmanager.com bn.uol.com.br orkut gstatic}==>{google yahoo} (0.009859155,1.0)
{bn.uol.com.br ad.doubleclick.net uai orkut}==>{google} (0.009859155,1.0)
{bn.uol.com.br ad.yieldmanager.com orkut youtube}==>{google yahoo} (0.009859155,1.0)
